
1;0.115;2
2;0.216;3
3;0.729;8
4;1.547;16
5;2.057;21
6;2.464;25
7;3.076;31
8;3.28;33
9;3.789;38
10;4.604;46
11;4.91;49
12;5.213;52
13;5.314;53
14;5.619;56
15;7.566;75
16;9.188;91
17;11.418;113
18;12.128;120
19;12.229;121
20;13.241;131
21;13.443;133
22;14.154;140
23;15.065;149
24;15.774;156
24;16.283;160
1;0.112;2
2;0.423;5
3;0.934;10
4;1.239;13
5;1.748;18
6;2.258;23
7;2.87;29
8;3.276;33
9;4.192;42
10;4.6;46
11;5.107;51
12;5.311;53
13;6.632;66
14;8.263;82
15;8.972;89
16;9.276;92
16;9.378;92
1;0.112;2
2;0.321;4
3;0.834;9
4;0.936;10
5;1.85;19
6;2.155;22
7;2.562;26
8;2.664;27
9;2.867;29
10;3.477;35
11;3.885;39
12;4.902;49
12;5.417;53
1;0.113;2
2;0.428;5
3;0.939;10
1;0.109;2
2;0.411;5
3;0.615;7
4;1.42;15
5;1.521;16
6;1.925;20
7;2.434;25
8;3.343;34
9;3.948;40
10;4.96;50
11;6.076;61
12;6.48;65
13;6.987;70
14;7.191;72
15;7.494;75
16;8.001;80
16;8.505;84
1;0.11;2
2;0.311;4
3;0.411;5
4;0.814;9
5;1.42;15
6;2.03;21
7;2.939;30
8;3.645;37
9;3.846;39
10;4.047;41
11;4.556;46
12;5.468;55
13;5.771;58
14;6.378;64
15;6.884;69
16;7.187;72
17;7.593;76
18;8.198;82
19;8.501;85
20;10.118;101
21;10.826;108
22;11.13;111
23;11.231;112
24;11.433;114
24;12.139;120
1;0.107;2
2;0.713;8
3;1.718;18
4;2.628;27
5;2.93;30
6;3.737;38
7;3.939;40
8;4.547;46
9;5.558;56
10;6.164;62
11;6.569;66
12;7.075;71
13;8.087;81
14;8.694;87
15;8.997;90
16;10.412;104
17;10.918;109
18;11.325;113
19;11.725;117
20;12.331;123
21;13.24;132
22;13.543;135
23;13.947;139
24;14.353;143
25;14.957;149
26;15.665;156
26;16.17;160
1;0.11;2
2;0.514;6
3;1.018;11
4;1.628;17
5;1.826;19
6;2.332;24
7;3.241;33
8;4.354;44
9;5.06;51
10;5.463;55
11;5.665;57
12;6.576;66
13;7.285;73
14;15.026;74
15;15.513;79
16;15.814;82
17;17.227;96
18;17.43;98
19;19.754;121
20;20.056;124
21;20.965;133
22;21.369;137
23;21.672;140
24;21.975;143
1;0.109;2
2;0.612;7
3;1.021;11
4;1.825;19
5;1.926;20
6;2.635;27
7;3.547;36
8;4.457;45
9;4.659;47
10;4.963;50
11;5.872;59
12;6.583;66
12;7.29;72
1;0.108;2
2;0.613;7
3;1.219;13
4;1.827;19
5;1.928;20
6;2.231;23
7;2.842;29
8;2.938;30
9;4.053;41
10;4.459;45
11;5.061;51
12;5.163;52
13;5.668;57
14;6.171;62
15;6.577;66
15;7.485;74
1;0.109;2
2;0.515;6
3;1.218;13
4;1.723;18
5;2.027;21
6;2.334;24
7;2.836;29
8;3.244;33
9;3.747;38
10;4.456;45
11;5.165;52
12;5.973;60
13;7.191;72
14;7.497;75
15;8.609;86
16;8.811;88
17;9.115;91
18;9.621;96
19;10.025;100
20;10.328;103
21;10.429;104
21;10.53;104
1;0.113;2
2;0.512;6
3;1.418;15
4;2.427;25
5;3.033;31
6;3.743;38
7;4.146;42
8;4.753;48
9;5.358;54
10;6.064;61
11;6.872;69
12;7.379;74
13;8.792;88
14;9.297;93
15;9.905;99
16;10.411;104
17;11.117;111
18;11.219;112
19;11.32;113
20;12.432;124
21;13.039;130
22;13.746;137
23;13.948;139
24;14.655;146
25;15.158;151
26;15.261;152
27;15.866;158
27;16.072;159
1;0.114;2
2;0.616;7
3;0.917;10
4;1.523;16
5;2.531;26
6;3.137;32
7;3.742;38
8;4.45;45
9;5.458;55
10;5.762;58
11;6.879;69
12;7.082;71
13;8.295;83
14;8.7;87
15;9.307;93
16;10.015;100
17;10.621;106
18;11.127;111
19;11.43;114
19;11.733;116
1;0.104;2
2;0.713;8
3;1.421;15
4;2.131;22
5;2.633;27
6;3.239;33
7;3.547;36
8;4.148;42
9;4.759;48
10;5.064;51
11;5.365;54
12;6.986;70
13;7.799;78
14;8.102;81
15;8.81;88
16;9.822;98
17;10.125;101
18;10.529;105
19;10.832;108
20;11.136;111
21;11.337;113
22;12.752;127
23;13.157;131
24;13.359;133
24;14.369;142
