
1;0.111;2
2;0.733;8
3;1.037;11
4;1.763;18
5;2.802;28
6;3.631;36
7;4.041;40
8;4.973;49
9;5.692;56
10;6.411;63
11;6.921;68
12;7.125;70
13;7.534;74
14;8.668;85
15;10.016;98
16;11.148;109
17;12.993;127
18;14.933;146
19;15.339;150
20;15.645;153
21;16.972;166
22;18.521;181
23;19.657;192
24;20.269;198
25;22.092;216
26;22.294;218
27;23.007;225
28;25.533;250
29;26.043;255
30;26.247;257
31;27.573;270
32;27.777;272
33;30.612;300
34;31.02;304
35;31.428;308
1;0.113;2
2;0.839;9
3;1.662;17
4;2.381;24
5;2.995;30
6;3.199;32
7;3.911;39
8;4.526;45
9;4.936;49
10;5.14;51
11;5.758;57
12;6.784;67
13;7.399;73
14;9.784;96
15;10.272;100
1;0.122;2
2;0.326;4
3;0.426;5
4;1.354;14
5;1.455;15
6;1.864;19
7;2.169;22
8;2.271;23
9;2.681;27
10;2.988;30
11;3.504;35
12;4.124;41
1;0.112;2
2;0.44;5
3;0.74;8
4;1.155;12
1;0.107;2
2;0.21;3
3;0.615;7
4;0.917;10
5;1.622;17
6;2.229;23
7;2.531;26
8;4.146;42
9;4.45;45
10;5.258;53
11;5.459;55
12;7.578;76
13;8.893;89
14;9.397;94
15;10.406;104
16;11.416;114
17;12.83;128
18;13.942;139
19;14.346;143
20;15.961;159
21;16.566;165
22;17.273;172
23;18.99;189
24;19.294;192
25;19.698;196
1;0.109;2
2;0.209;3
3;0.411;5
4;0.915;10
5;1.819;19
6;2.528;26
7;2.831;29
8;3.134;32
9;3.437;35
10;4.446;45
11;5.051;51
12;5.658;57
13;6.364;64
14;6.768;68
15;7.98;80
16;8.484;85
17;8.787;88
18;10.099;101
19;10.908;109
20;11.919;119
21;12.02;120
22;15.759;157
23;17.172;171
24;19.9;198
25;20.204;201
26;31.826;316
27;33.545;333
28;33.747;335
29;34.151;339
30;34.958;347
31;35.361;351
32;38.695;384
33;38.998;387
34;39.705;394
35;43.442;431
36;46.98;466
37;47.99;476
38;51.332;509
39;52.037;516
40;56.18;557
41;60.628;601
42;62.852;623
43;63.255;627
44;63.457;629
45;65.782;652
1;0.109;2
2;0.413;5
3;0.615;7
4;1.725;18
5;2.231;23
6;2.632;27
7;3.544;36
8;3.744;38
9;4.349;44
10;4.654;47
11;5.361;54
12;5.764;58
13;6.066;61
14;6.371;64
15;7.586;76
16;7.784;78
17;8.088;81
18;8.799;88
19;9.3;93
20;9.911;99
21;11.018;110
22;11.421;114
23;12.235;122
24;12.437;124
25;14.056;140
26;14.252;142
27;18.091;180
28;20.312;202
29;23.242;231
30;35.166;349
31;37.387;371
32;37.488;372
33;39.611;393
34;41.226;409
35;42.842;425
36;43.347;430
37;43.55;432
38;43.852;435
39;47.996;476
40;48.196;478
41;48.399;480
42;48.802;484
43;49.105;487
44;49.205;488
45;49.306;489
1;0.111;2
2;0.211;3
3;0.813;9
4;1.621;17
5;2.228;23
6;2.733;28
7;3.44;35
8;4.045;41
9;4.449;45
10;5.155;52
11;5.659;57
12;6.466;65
13;6.768;68
1;0.108;2
2;0.411;5
3;1.117;12
4;1.621;17
5;2.127;22
6;2.529;26
7;3.137;32
8;3.338;34
9;4.752;48
10;5.861;59
11;6.366;64
12;6.568;66
13;7.578;76
14;8.591;86
15;8.994;90
16;9.702;97
17;10.409;104
18;10.814;108
19;11.52;115
20;14.048;140
21;16.371;163
22;17.483;174
23;19.099;190
24;20.311;202
25;20.816;207
26;22.936;228
27;25.16;250
28;25.566;254
29;28.091;279
30;28.697;285
31;32.132;319
32;35.364;351
33;37.183;369
34;40.616;403
35;43.645;433
36;49.202;488
37;49.505;491
38;51.424;510
39;51.828;514
40;54.252;538
41;56.071;556
1;0.109;2
2;0.714;8
3;0.916;10
4;1.426;15
5;1.827;19
6;1.928;20
7;2.734;28
8;2.834;29
9;3.948;40
10;4.25;43
11;4.352;44
12;4.956;50
13;5.36;54
14;6.875;69
15;6.975;70
16;7.583;76
17;8.896;89
18;10.411;104
19;10.715;107
20;11.019;110
21;11.524;115
22;12.536;125
23;12.839;128
24;14.756;147
25;16.877;168
26;17.685;176
27;17.886;178
28;18.29;182
29;18.997;189
30;19.3;192
31;19.401;193
32;19.503;194
33;19.705;196
34;23.037;229
35;23.339;232
36;27.078;269
37;28.391;282
38;36.27;360
39;36.472;362
40;36.673;364
41;41.017;407
42;43.642;433
43;44.349;440
44;71.015;704
45;71.218;706
1;0.107;2
2;0.509;6
3;1.116;12
4;1.622;17
5;2.027;21
6;2.328;24
7;3.236;33
8;3.943;40
9;4.551;46
10;5.159;52
11;5.66;57
12;5.862;59
13;6.365;64
14;7.879;79
15;8.889;89
16;9.498;95
17;10.814;108
18;11.014;110
19;12.831;128
20;13.134;131
21;13.236;132
22;14.447;144
23;14.752;147
24;15.155;151
25;16.064;160
26;19.497;194
27;21.82;217
28;24.65;245
29;25.66;255
30;25.963;258
31;26.063;259
32;30.004;298
33;30.105;299
34;32.931;327
35;34.344;341
1;0.105;2
2;0.512;6
3;0.914;10
4;1.222;13
5;1.721;18
6;2.629;27
7;3.441;35
8;4.047;41
9;5.156;52
10;5.458;55
11;6.568;66
12;7.476;75
13;9.394;94
14;9.9;99
15;10.91;109
16;11.213;112
17;12.932;129
18;13.638;136
19;15.152;151
20;15.255;152
21;15.658;156
22;16.166;161
23;16.57;165
24;17.075;170
25;17.479;174
26;19.299;192
27;19.501;194
28;23.036;229
29;30.208;300
30;30.409;302
31;31.014;308
32;31.115;309
33;31.519;313
34;33.438;332
35;35.355;351
36;35.557;353
37;38.892;386
38;39.7;394
