
1;0.105;2
2;0.406;5
3;2.02;21
4;11.399;114
5;12.911;129
6;18.761;187
7;24.706;246
8;26.724;266
8;27.026;268
1;0.509;6
2;0.711;8
3;4.948;50
4;8.58;86
4;9.489;94
1;8.784;88
2;22.809;227
1;6.759;68
2;7.565;76
3;7.666;77
4;10.793;108
5;12.811;128
6;19.666;196
7;21.682;216
8;29.048;289
9;33.785;336
10;35.501;353
11;36.106;359
12;36.913;367
12;38.225;379
1;5.146;52
2;9.181;92
3;9.383;94
4;10.895;109
5;13.415;134
5;13.919;138
1;0.915;10
2;3.639;37
3;4.949;50
4;17.523;100
5;22.264;147
1;17.658;176
2;19.172;191
2;23.613;234
1;1.115;12
2;6.968;70
3;7.17;72
4;8.583;86
5;9.088;91
6;14.134;141
6;14.537;144
1;5.755;58
2;29.657;295
3;35.708;355
4;36.515;363
4;38.936;386
1;0.106;2
2;7.169;72
3;10.196;102
4;13.829;138
4;14.938;148
1;20.085;200
2;22.308;222
3;36.026;358
4;47.729;474
5;61.904;567
1;2.327;24
2;2.529;26
2;8.886;88
